clase,condicion,n_imagenes,aciertos,fallos,notas
botella,A_ideal,,,,
botella,B_angulo,,,,
botella,C_iluminacion,,,,
silla,A_ideal,,,,
silla,B_angulo,,,,
silla,C_iluminacion,,,,
libro,A_ideal,,,,
libro,B_angulo,,,,
libro,C_iluminacion,,,,
taza,A_ideal,,,,
taza,B_angulo,,,,
taza,C_iluminacion,,,,
movil,A_ideal,,,,
movil,B_angulo,,,,
movil,C_iluminacion,,,,
persona,A_ideal,,,,
persona,B_angulo,,,,
persona,C_iluminacion,,,,
